feature,weight,valid,char_count,word_count,unique_word_count,sentence_count,avg_word_length,en_tokens,tl_tokens,other_tokens,en_ratio,tl_ratio,other_ratio,code_switch_points,code_switch_ratio,symptom_cue_hits,onset_cue_hits,contains_numeric,contains_time_expression,weight_numeric,valid_numeric
en_ratio,0.0776550907840082,0.009478942462712532,0.06706894214298624,0.050192150727038,0.0446000625124518,-0.11203704711644312,0.029939371920914972,0.6133272180667895,-0.6074931353327293,,1.0,-1.0,,0.023983026075918717,-0.01841075848080179,-0.16167422460075143,0.08578696959566459,,0.12814972413421588,0.07765509078400828,0.009478942462712537
tl_ratio,-0.07765509078400835,-0.00947894246271432,-0.0670689421429872,-0.05019215072703891,-0.044600062512452444,0.11203704711644248,-0.0299393719209156,-0.6133272180667904,0.6074931353327289,,-1.0,1.0,,-0.023983026075919706,0.01841075848080141,0.16167422460075095,-0.08578696959566513,,-0.1281497241342164,-0.07765509078400838,-0.009478942462714334
other_ratio,,,,,,,,,,,,,,,,,,,,,
code_switch_points,0.010614362277550674,-0.024793110623532424,0.75760292391928,0.771116477534519,0.6194538607925747,0.3367938707197692,-0.01485165666715651,0.6110055959168352,0.5870074278728076,,0.023983026075918717,-0.023983026075919706,,1.0,0.6180935121683752,0.051150116882023186,0.32035375659574467,,0.2062030898414291,0.010614362277550691,-0.02479311062353244
code_switch_ratio,0.012130857790501146,-0.022401412775002412,0.012351445582637923,0.004750178390688276,-0.1006515155392763,0.14675158404541666,-0.019074813849734043,-0.009262392586617377,0.018280819256948203,,-0.01841075848080179,0.01841075848080141,,0.6180935121683752,1.0,-0.06860771740654938,0.21537123186365414,,0.0905828113229628,0.01213085779050109,-0.02240141277500241
symptom_cue_hits,-0.06802237920815168,-0.0886970278972069,0.1283377116984477,0.12150447100367416,0.127041386269008,0.12479298263892513,0.024838347524427214,-0.0002958434530616626,0.20121348672080053,,-0.16167422460075143,0.16167422460075095,,0.051150116882023186,-0.06860771740654938,1.0,0.04433442842390782,,0.025376745044372057,-0.06802237920815166,-0.08869702789720693
onset_cue_hits,0.019720719033351625,0.08585077415420131,0.23782193516258995,0.21462771011788534,0.18461608979126407,0.14611803366790044,0.08197707717020615,0.2132192145458032,0.11479984549166201,,0.08578696959566459,-0.08578696959566513,,0.32035375659574467,0.21537123186365414,0.04433442842390782,1.0,,0.7642344161019696,0.019720719033351625,0.0858507741542013
contains_numeric,,,,,,,,,,,,,,,,,,,,,
contains_time_expression,0.0031397904760400784,0.10488381014939578,0.19926018764381162,0.17989583554399236,0.16519878766656185,0.1717788525938727,0.0616486147237174,0.21721271592618296,0.05288264528897479,,0.12814972413421588,-0.1281497241342164,,0.2062030898414291,0.0905828113229628,0.025376745044372057,0.7642344161019696,,1.0,0.0031397904760401166,0.10488381014939577
weight_numeric,1.0,0.025783757986611717,-0.024176721642072237,-0.013097144871608263,-0.019128426286033697,-0.02403735101871408,-0.07582484041320262,0.041101513303523296,-0.06792466518604251,,0.07765509078400828,-0.07765509078400838,,0.010614362277550691,0.01213085779050109,-0.06802237920815166,0.019720719033351625,,0.0031397904760401166,1.0,0.025783757986611727
valid_numeric,0.025783757986611727,1.0,-0.0035670496500127434,-0.01130825136547367,-0.07869563215781547,0.004596596010148423,0.016524557279315233,0.0015956364892105942,-0.020492004741002236,,0.009478942462712537,-0.009478942462714334,,-0.02479311062353244,-0.02240141277500241,-0.08869702789720693,0.0858507741542013,,0.10488381014939577,0.025783757986611727,1.0
